id,source,predicate,target,unit,confidence,doc_instance_id,clause_id,support_count,track,evidence_anchors
edge_06d57851fd8532281b5deb38,Clause:010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004,clause_has_parameter_mention,ParameterMention:pm_5029ab10c882fa59c194,,1.0,010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5,010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004,1,strict_all,"[{""char_end"":38,""char_start"":36,""clause_id"":""010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004"",""doc_instance_id"":""010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5""}]"
edge_cc5b9b0e40ada58dae0e8c1b,Clause:010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004,clause_has_parameter_mention,ParameterMention:pm_f2694c83066209e5f72f,,1.0,010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5,010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004,1,strict_all,"[{""char_end"":34,""char_start"":32,""clause_id"":""010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004"",""doc_instance_id"":""010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5""}]"
edge_ab10531cd6e3f500efce9f26,Clause:032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e#clause_0002,clause_has_parameter_mention,ParameterMention:pm_3ca15f01e357867b786e,,1.0,032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e,032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e#clause_0002,1,strict_all,"[{""char_end"":41,""char_start"":39,""clause_id"":""032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e#clause_0002"",""doc_instance_id"":""032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e""}]"
edge_6db6d5f49de34b81d5bd3133,Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0002,clause_has_parameter_mention,ParameterMention:pm_132cc7045c356346e482,,1.0,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0002,1,strict_all,"[{""char_end"":25,""char_start"":21,""clause_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0002"",""doc_instance_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141""}]"
edge_77351a444bbaac0080189483,Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005,clause_has_parameter_mention,ParameterMention:pm_6b17b8446a1bebc356a1,,1.0,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005,1,strict_all,"[{""char_end"":53,""char_start"":49,""clause_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005"",""doc_instance_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141""}]"
edge_f18c9b76e87aad6d63f504c2,Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005,clause_has_parameter_mention,ParameterMention:pm_906636a1ac2a22195cc0,,1.0,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005,1,strict_all,"[{""char_end"":28,""char_start"":25,""clause_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005"",""doc_instance_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141""}]"
edge_ee5c3fba8add386dcd12d50e,Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0006,clause_has_parameter_mention,ParameterMention:pm_1e54b120a28b8b5dcaac,,1.0,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0006,1,strict_all,"[{""char_end"":13,""char_start"":9,""clause_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0006"",""doc_instance_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141""}]"
edge_b32129bf3dbdff92d747bcd8,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,clause_has_parameter_mention,ParameterMention:pm_7ad6ad7dbccac758e3f9,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,1,strict_all,"[{""char_end"":47,""char_start"":45,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_ac9ddc7b44005ae7e6c11ef9,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,clause_has_parameter_mention,ParameterMention:pm_a15aca173d608e747dfb,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,1,strict_all,"[{""char_end"":43,""char_start"":41,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_54ee5917081ad093db025cb3,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,clause_has_parameter_mention,ParameterMention:pm_c2a4f504fdbc39fab2ce,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,1,strict_all,"[{""char_end"":51,""char_start"":49,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
