id,source,predicate,target,unit,confidence,doc_instance_id,clause_id,support_count,track,evidence_anchors
edge_4a45c5f616b1f724403a1329,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,clause_has_parameter_mention,ParameterMention:pm_c2a4f504fdbc39fab2ce,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,1,strict_high,"[{""char_end"":51,""char_start"":49,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_a637391ddf9a2c5aea3da8b1,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004,clause_has_parameter_mention,ParameterMention:pm_473834c9767c8a4f82a6,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004,1,strict_high,"[{""char_end"":84,""char_start"":82,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_72a3a5d479b9068244e2659b,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004,clause_has_parameter_mention,ParameterMention:pm_4d550487aff0b96f185f,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004,1,strict_high,"[{""char_end"":88,""char_start"":86,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_261c6d2ff4907d6894081b25,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0009,clause_has_parameter_mention,ParameterMention:pm_c67fbf8b2ec60b5e8296,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0009,1,strict_high,"[{""char_end"":47,""char_start"":45,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0009"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_74faf7fd1e8661f4e98f74df,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0010,clause_has_parameter_mention,ParameterMention:pm_7ae030e534db9d770081,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0010,1,strict_high,"[{""char_end"":4,""char_start"":2,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0010"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_e4d7cefb26c4e3ea81b549e5,Clause:0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722#clause_0000,clause_has_parameter_mention,ParameterMention:pm_b97a02843839859cfb3f,,1.0,0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722,0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722#clause_0000,1,strict_high,"[{""char_end"":122,""char_start"":117,""clause_id"":""0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722#clause_0000"",""doc_instance_id"":""0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722""}]"
edge_2e79f27f857a54eba4d16f2b,Clause:0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79#clause_0000,clause_has_parameter_mention,ParameterMention:pm_8736dd047b0a76db5ee7,,1.0,0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79,0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79#clause_0000,1,strict_high,"[{""char_end"":122,""char_start"":117,""clause_id"":""0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79#clause_0000"",""doc_instance_id"":""0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79""}]"
edge_4fb162275241c67b0201a33a,Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,clause_has_parameter_mention,ParameterMention:pm_23b5d616785376890930,,1.0,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,1,strict_high,"[{""char_end"":79,""char_start"":76,""clause_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026"",""doc_instance_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a""}]"
edge_578ebadcb191c22f7efbaaf1,Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,clause_has_parameter_mention,ParameterMention:pm_b2ddb5c7812ae64b0576,,1.0,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,1,strict_high,"[{""char_end"":98,""char_start"":96,""clause_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026"",""doc_instance_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a""}]"
edge_f0c1c19a7eea09d6ac893676,Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,clause_has_parameter_mention,ParameterMention:pm_eb5a49a0ef093b257092,,1.0,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,1,strict_high,"[{""char_end"":59,""char_start"":56,""clause_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026"",""doc_instance_id"":""0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a""}]"
